cartelaId,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
1,6,7,8,1,14,16,30,25,22,27,31,39,,37,44,54,57,59,52,56,74,70,66,64,72
2,9,6,12,8,7,25,20,23,26,22,44,33,,37,41,51,58,59,57,47,72,62,61,67,68
3,13,3,7,9,10,20,23,29,26,18,31,42,,36,37,46,50,58,51,49,71,62,68,63,64
4,15,12,2,10,9,27,16,28,21,22,33,31,,38,41,57,49,47,60,46,61,65,73,62,66
5,11,1,5,3,10,25,29,24,21,23,34,42,,36,37,50,46,53,47,56,72,74,68,63,61
6,1,4,8,2,3,23,16,18,26,17,44,32,,41,42,58,46,48,53,51,74,73,69,75,71
7,10,13,15,6,4,29,25,16,18,17,45,34,,38,35,52,58,57,48,51,66,63,71,69,72
8,4,6,8,1,5,20,19,16,30,18,33,37,,39,36,54,52,47,48,59,73,68,62,67,71
9,5,10,2,9,4,26,24,29,16,21,41,45,,42,36,55,56,57,59,53,63,61,68,67,75
10,3,10,2,4,12,24,26,16,28,21,32,38,,37,42,57,51,46,60,55,73,72,75,70,65
11,10,3,9,1,15,30,29,26,19,24,40,35,,36,34,60,57,52,48,49,64,62,71,74,73
12,9,10,13,5,1,19,22,20,23,16,40,45,,38,35,48,52,53,55,60,63,74,67,72,71
13,11,15,1,12,2,28,29,20,21,27,38,43,,44,41,51,58,48,59,50,67,64,61,65,66
14,6,5,13,1,11,25,21,28,18,17,41,44,,43,34,60,53,49,54,46,63,65,61,74,73
15,10,7,14,3,9,20,28,21,22,30,37,42,,38,33,59,57,47,60,51,64,66,70,69,61
16,11,3,13,2,9,30,18,24,28,23,42,43,,40,41,55,47,56,50,60,68,67,64,65,63
17,15,3,14,4,7,25,22,20,23,18,45,35,,40,31,59,57,54,55,50,63,67,74,65,70
18,3,6,7,1,2,19,20,27,17,21,35,45,,40,41,59,55,47,53,57,63,61,69,75,65
19,11,6,5,3,2,17,19,22,26,28,37,41,,40,43,46,57,48,60,53,63,71,67,68,66
20,15,10,3,6,5,16,18,30,28,20,36,39,,35,31,49,60,46,57,51,67,63,69,75,61
21,7,2,1,3,9,23,30,27,17,20,33,34,,40,39,48,53,49,57,60,65,66,68,74,64
22,8,11,4,3,12,30,29,24,28,16,38,44,,43,45,57,60,53,50,49,71,64,72,69,68
23,11,5,15,10,3,20,27,21,23,22,31,44,,34,33,56,47,46,48,53,66,64,65,75,74
24,14,4,10,15,12,27,26,30,16,20,35,44,,31,33,52,50,55,59,54,70,68,74,72,73
25,12,7,11,2,10,25,23,24,22,16,37,36,,41,33,54,57,56,48,60,70,63,75,68,67
26,12,14,15,11,4,16,27,23,25,21,40,36,,37,39,57,58,59,54,52,69,72,74,65,66
27,9,4,1,2,8,21,22,30,16,19,37,32,,39,35,59,52,54,56,47,71,64,68,66,67
28,14,11,8,13,3,30,21,23,26,24,33,37,,45,36,51,55,54,49,53,70,68,67,62,66
29,14,9,1,3,7,29,25,22,21,18,44,33,,35,40,52,57,50,47,48,74,71,70,66,61
